player_name,gender,current_team,games_played,runs_scored,innings,not_outs,balls_faced,fours,sixes,high_score,balls_bowled,runs_conceded,best_bowling,extras,catches,POMs
JJ Roy,male,Oval Invincibles,21,391,21,2.0,293,42,13,59.0,0,0,,0,9,1
SM Curran,male,Oval Invincibles,17,318,17,1.0,245,20,16,60.0,321,502,16-3,24,10,2
SP Narine,male,Oval Invincibles,18,145,14,4.0,107,8,11,23.0,345,413,12-3,10,2,1
WG Jacks,male,Oval Invincibles,22,620,22,1.0,368,60,34,108.0,60,73,8-2,5,9,3
SW Billings,male,Oval Invincibles,22,349,22,6.0,244,28,14,76.0,0,0,,0,10,3
CA Ingram,male,Oval Invincibles,7,120,7,1.0,92,9,5,81.0,0,0,,0,4,0
LJ Evans,male,Manchester Originals,24,384,23,6.0,240,30,20,72.0,0,0,,0,9,2
TK Curran,male,Oval Invincibles,19,306,15,8.0,177,26,18,43.0,362,535,21-3,27,8,2
NA Sowter,male,Oval Invincibles,12,21,4,2.0,12,3,0,7.0,180,276,34-3,6,6,0
S Mahmood,male,Oval Invincibles,7,9,3,2.0,12,0,0,7.0,120,186,19-2,4,3,0
RJW Topley,male,Northern Superchargers,18,23,2,2.0,11,5,0,12.0,314,480,20-3,20,2,0
PD Salt,male,Manchester Originals,24,618,24,1.0,395,63,26,86.0,0,0,,0,12,2
JC Buttler,male,Manchester Originals,14,494,14,1.0,343,40,21,75.0,0,0,,0,11,0
JM Clarke,male,Welsh Fire,22,370,22,1.0,304,34,13,69.0,0,0,,0,14,1
C Munro,male,Trent Rockets,23,592,22,6.0,382,50,28,67.0,0,0,,0,5,2
TA Lammonby,male,Manchester Originals,11,120,8,3.0,90,13,3,27.0,5,8,8-1,0,5,0
CR Brathwaite,male,Manchester Originals,7,94,6,2.0,67,4,7,37.0,91,150,13-2,6,5,0
CG Harrison,male,Manchester Originals,7,37,3,,31,5,0,23.0,70,85,14-5,2,7,1
TW Hartley,male,Manchester Originals,24,80,10,5.0,76,4,2,17.0,320,430,22-4,19,12,1
FJ Klaassen,male,Manchester Originals,8,11,4,2.0,13,1,0,6.0,114,195,23-3,6,3,0
ST Finn,male,Manchester Originals,5,11,1,1.0,7,2,0,11.0,55,111,22-2,6,2,0
MW Parkinson,male,Manchester Originals,16,11,4,1.0,13,0,1,6.0,267,356,11-4,7,3,1
Z Crawley,male,London Spirit,12,258,10,,208,32,7,64.0,0,0,,0,6,1
JP Inglis,male,London Spirit,8,176,8,,135,18,5,72.0,0,0,,0,4,0
DW Lawrence,male,London Spirit,15,280,13,,193,20,13,93.0,64,84,21-4,0,5,2
EJG Morgan,male,London Spirit,16,281,16,2.0,208,15,17,47.0,0,0,,0,4,0
JL Denly,male,London Spirit,5,66,5,,68,4,2,35.0,10,12,,1,2,0
RS Bopara,male,London Spirit,17,232,15,3.0,168,18,10,45.0,65,84,21-4,2,7,1
Mohammad Nabi,male,London Spirit,5,33,5,1.0,32,2,1,10.0,95,109,19-2,0,2,0
RE van der Merwe,male,Welsh Fire,19,133,12,10.0,99,12,3,30.0,225,392,16-2,17,7,0
BC Cullen,male,London Spirit,7,18,4,2.0,15,1,1,15.0,120,207,39-3,11,1,0
CP Wood,male,London Spirit,11,6,3,1.0,5,1,0,5.0,205,326,28-4,23,3,0
Mohammad Amir,male,London Spirit,4,18,3,1.0,21,1,0,16.0,77,135,34-2,12,0,0
FH Allen,male,Southern Brave,15,322,15,,234,37,10,43.0,0,0,,0,7,0
Miles Hammond,male,Birmingham Phoenix,16,232,14,4.0,172,26,6,44.0,0,0,,0,3,0
LS Livingstone,male,Birmingham Phoenix,20,613,20,4.0,404,32,45,92.0,133,212,25-3,4,4,2
MM Ali,male,Birmingham Phoenix,20,453,20,,316,25,31,59.0,220,313,13-2,2,8,1
DJ Bell-Drummond,male,London Spirit,7,129,7,,104,10,4,46.0,0,0,,0,1,1
CG Benjamin,male,Birmingham Phoenix,20,200,17,5.0,165,17,8,37.0,0,0,,0,9,1
BAC Howell,male,Birmingham Phoenix,23,160,17,6.0,128,11,4,22.0,415,516,21-4,10,6,0
CB Cooke,male,Birmingham Phoenix,4,20,3,,21,1,0,11.0,0,0,,0,1,0
AF Milne,male,Birmingham Phoenix,14,32,7,5.0,30,2,1,13.0,215,260,14-3,23,6,0
TG Helm,male,Birmingham Phoenix,18,53,7,2.0,53,3,2,17.0,246,416,19-4,20,5,0
Imran Tahir,male,Birmingham Phoenix,15,6,2,1.0,2,0,1,6.0,259,392,25-5,9,6,1
JM Vince,male,Southern Brave,24,467,22,2.0,351,51,13,71.0,0,0,,0,11,2
DP Conway,male,Southern Brave,11,207,11,1.0,185,23,2,35.0,0,0,,0,5,0
AL Davies,male,Southern Brave,18,357,16,3.0,282,32,6,51.0,0,0,,0,12,2
DMW Rawlins,male,Southern Brave,1,7,1,,7,1,0,7.0,0,0,,0,0,0
C de Grandhomme,male,Southern Brave,8,56,6,2.0,46,3,2,40.0,40,92,,8,2,0
RA Whiteley,male,Oval Invincibles,23,321,18,4.0,234,28,13,52.0,0,0,,0,11,0
LA Dawson,male,London Spirit,20,71,12,6.0,55,5,2,24.0,304,406,15-3,5,4,0
CJ Jordan,male,Southern Brave,17,183,10,5.0,104,11,13,70.0,290,428,21-4,20,4,2
GHS Garton,male,Southern Brave,19,99,11,2.0,79,10,4,28.0,300,464,7-3,28,3,3
DR Briggs,male,Oval Invincibles,10,40,5,4.0,24,5,1,29.0,135,201,18-2,0,1,0
TS Mills,male,Southern Brave,18,0,2,,3,0,0,0.0,327,410,13-4,15,2,1
DJM Short,male,Trent Rockets,9,156,9,3.0,129,20,2,69.0,20,35,,2,3,1
AD Hales,male,Trent Rockets,25,532,25,1.0,376,62,18,59.0,0,0,,0,12,2
DJ Malan,male,Trent Rockets,22,619,21,2.0,434,58,24,98.0,0,0,,0,4,4
JE Root,male,Trent Rockets,10,176,8,2.0,119,17,5,72.0,70,96,25-2,4,8,0
TJ Moores,male,Trent Rockets,14,79,8,2.0,65,1,5,19.0,0,0,,0,7,0
L Gregory,male,Trent Rockets,25,279,20,12.0,189,21,10,35.0,206,321,19-3,12,7,0
SJ Mullaney,male,Trent Rockets,6,92,5,,64,8,4,49.0,25,31,9-1,0,3,0
SR Patel,male,Trent Rockets,20,238,12,2.0,168,13,15,46.0,294,402,20-3,14,3,1
Rashid Khan,male,Trent Rockets,11,46,5,,35,4,3,25.0,210,302,16-3,10,6,1
L Wood,male,Trent Rockets,21,19,5,4.0,18,1,0,10.0,344,519,18-3,41,6,0
M de Lange,male,Trent Rockets,7,14,2,1.0,9,1,1,7.0,119,165,21-5,9,2,1
JM Bairstow,male,Welsh Fire,5,171,5,,126,13,8,72.0,0,0,,0,1,1
T Banton,male,Northern Superchargers,21,324,20,,255,28,14,81.0,0,0,,0,6,0
BM Duckett,male,Birmingham Phoenix,22,575,22,2.0,421,67,9,65.0,0,0,,0,9,0
GD Phillips,male,Welsh Fire,15,312,15,3.0,224,23,16,80.0,29,56,,0,9,1
JDS Neesham,male,Oval Invincibles,8,51,8,2.0,38,4,2,30.0,80,122,5-3,1,2,0
IA Cockbain,male,Trent Rockets,7,113,7,3.0,89,12,3,32.0,0,0,,0,4,0
MJJ Critchley,male,London Spirit,17,212,12,5.0,149,15,10,55.0,215,354,18-2,9,3,0
LE Plunkett,male,Welsh Fire,1,0,0,,0,0,0,,15,42,42-0,4,0,0
Qais Ahmad,male,Welsh Fire,8,15,3,1.0,12,3,0,13.0,155,193,13-4,2,0,1
JT Ball,male,Welsh Fire,12,1,1,1.0,6,0,0,1.0,226,342,29-4,15,3,0
DA Payne,male,Welsh Fire,21,10,5,1.0,11,0,1,8.0,361,578,18-3,16,2,0
A Lyth,male,Northern Superchargers,16,366,15,,225,29,23,79.0,20,24,24-2,0,4,2
CA Lynn,male,Northern Superchargers,7,150,7,,127,14,5,48.0,0,0,,0,0,0
BA Stokes,male,Northern Superchargers,2,10,2,,14,1,0,5.0,31,33,24-2,6,0,0
HC Brook,male,Northern Superchargers,18,407,17,4.0,263,32,18,63.0,0,0,,0,13,1
DJ Willey,male,Welsh Fire,20,300,19,5.0,238,18,14,81.0,289,433,9-2,7,7,1
T Kohler-Cadmore,male,Trent Rockets,20,390,20,,311,28,16,71.0,0,0,,0,8,0
JA Simpson,male,Northern Superchargers,11,183,10,2.0,129,21,4,71.0,0,0,,0,11,1
BA Carse,male,Northern Superchargers,12,74,8,4.0,59,6,2,33.0,125,237,15-1,8,6,0
MJ Potts,male,Northern Superchargers,8,21,2,2.0,11,2,1,20.0,120,201,23-1,6,5,0
AU Rashid,male,Northern Superchargers,22,32,6,1.0,30,3,1,13.0,422,538,18-4,10,6,0
Mujeeb Ur Rahman,male,Northern Superchargers,7,0,1,,2,0,0,0.0,130,159,6-2,2,2,0
CF Parkinson,male,Northern Superchargers,8,4,4,3.0,7,0,0,2.0,145,211,19-2,4,3,0
M Carter,male,Trent Rockets,13,37,8,3.0,28,2,2,14.0,210,308,17-3,4,5,1
JJ Cobb,male,Welsh Fire,12,87,10,1.0,77,6,4,28.0,55,76,14-1,0,6,0
Q de Kock,male,Southern Brave,16,317,15,2.0,223,36,10,72.0,0,0,,0,14,2
C Overton,male,Southern Brave,11,11,3,2.0,13,0,0,6.0,190,261,19-2,7,6,0
JB Lintott,male,Southern Brave,17,21,3,3.0,21,1,0,10.0,310,435,14-3,11,2,0
T van der Gugten,male,Birmingham Phoenix,4,1,1,1.0,1,0,0,1.0,25,66,30-1,3,0,0
AM Rossington,male,London Spirit,22,460,20,,273,43,25,66.0,0,0,,0,15,1
MS Crane,male,London Spirit,15,2,2,1.0,4,0,0,2.0,253,367,24-4,5,8,0
JL du Plooy,male,Southern Brave,17,347,16,2.0,256,22,11,43.0,5,16,,2,7,0
RF Higgins,male,Welsh Fire,5,29,5,3.0,34,1,0,11.0,60,77,23-3,2,2,0
CN Ackermann,male,Southern Brave,8,99,7,1.0,88,6,3,53.0,70,86,9-1,6,2,0
LH Ferguson,male,Welsh Fire,6,27,3,1.0,20,0,3,13.0,100,143,25-2,6,0,0
J Clark,male,Oval Invincibles,3,0,1,,1,0,0,0.0,5,6,,0,1,0
T Shamsi,male,Trent Rockets,12,0,0,,0,0,0,,220,318,25-3,9,0,0
DJ Vilas,male,Northern Superchargers,5,95,5,2.0,75,8,1,36.0,0,0,,0,3,0
JA Thompson,male,London Spirit,17,89,12,1.0,73,4,6,27.0,231,366,21-4,10,4,1
WCF Smeed,male,Birmingham Phoenix,20,428,20,2.0,267,42,22,101.0,0,0,,0,11,2
PR Brown,male,Oval Invincibles,7,0,0,,0,0,0,,90,180,27-3,2,0,0
ME Milnes,male,Oval Invincibles,10,5,4,1.0,6,1,0,4.0,159,278,32-3,5,5,0
BA Raine,male,Manchester Originals,9,35,5,3.0,28,5,0,18.0,123,220,15-3,13,2,0
LM Reece,male,London Spirit,2,24,2,,25,1,2,24.0,5,11,,0,0,0
SR Hain,male,Trent Rockets,10,181,9,2.0,133,17,4,63.0,0,0,,0,3,1
PR Stirling,male,Southern Brave,9,211,8,1.0,131,21,12,74.0,63,68,10-1,1,2,1
GG White,male,Welsh Fire,3,17,2,1.0,12,1,1,14.0,45,90,21-0,6,1,0
LJ Fletcher,male,Trent Rockets,6,6,2,1.0,5,1,0,4.0,90,144,22-2,6,1,0
Wahab Riaz,male,Northern Superchargers,2,0,0,,0,0,0,,30,45,30-5,0,1,0
AJ Blake,male,Oval Invincibles,3,54,3,1.0,39,2,4,44.0,0,0,,0,2,0
SJ Cook,male,Trent Rockets,16,1,1,1.0,1,0,0,1.0,276,421,19-4,12,6,1
JB Cracknell,male,London Spirit,3,55,3,,41,5,2,35.0,0,0,,0,2,0
BTJ Wheal,male,London Spirit,6,0,0,,0,0,0,,103,145,17-5,3,1,1
DL Lloyd,male,Welsh Fire,2,6,2,,7,0,1,6.0,0,0,,0,0,0
DY Pennington,male,Birmingham Phoenix,3,0,0,,0,0,0,,40,74,12-2,0,4,0
D Wiese,male,Northern Superchargers,16,230,15,3.0,137,10,18,54.0,215,386,15-3,13,8,2
DA Douthwaite,male,Manchester Originals,1,4,1,,10,0,0,4.0,0,0,,0,0,0
MD Fisher,male,Southern Brave,3,0,1,,1,0,0,0.0,34,50,24-1,2,0,0
TB Abell,male,Welsh Fire,8,112,7,3.0,93,9,3,37.0,0,0,,0,4,1
JW Dernbach,male,London Spirit,1,0,0,,0,0,0,,15,23,23-0,0,0,0
TH David,male,Southern Brave,17,196,14,4.0,115,15,13,44.0,15,32,,0,5,0
DG Bedingham,male,Birmingham Phoenix,1,0,1,,2,0,0,0.0,0,0,,0,1,0
L Lee,female,Trent Rockets,20,549,20,3.0,420,76,14,68.0,0,0,,0,8,2
EL Lamb,female,Manchester Originals,18,326,18,,279,41,4,57.0,180,242,16-3,3,3,0
GEB Boyce,female,Manchester Originals,5,37,3,,45,4,0,21.0,0,0,,0,1,0
H Kaur,female,Trent Rockets,10,176,9,2.0,171,16,1,49.0,15,30,,0,3,0
M du Preez,female,Trent Rockets,14,185,14,4.0,173,17,4,32.0,0,0,,0,0,0
S Ecclestone,female,Manchester Originals,18,192,15,5.0,139,18,8,36.0,344,382,8-4,11,4,1
KL Cross,female,Northern Superchargers,21,35,9,3.0,36,3,1,15.0,408,506,19-3,32,7,1
CL Griffith,female,Oval Invincibles,17,98,13,5.0,75,8,3,30.0,0,0,,0,3,0
E Threlkeld,female,Manchester Originals,18,77,8,4.0,79,6,0,17.0,0,0,,0,8,0
L Jackson,female,Manchester Originals,3,2,1,1.0,2,0,0,2.0,45,72,27-2,7,1,0
A Hartley,female,Welsh Fire,17,3,2,2.0,5,0,0,2.0,315,408,29-3,14,3,0
GL Adams,female,Southern Brave,24,342,21,3.0,285,32,10,50.0,285,326,11-4,1,8,4
A Capsey,female,Oval Invincibles,22,380,21,3.0,290,52,7,59.0,270,288,15-3,5,13,2
GJ Gibbs,female,Oval Invincibles,9,46,5,2.0,40,6,0,21.0,40,61,24-2,8,6,0
FC Wilson,female,Trent Rockets,22,201,21,1.0,218,22,0,25.0,0,0,,0,2,0
D van Niekerk,female,Oval Invincibles,14,324,12,4.0,295,41,3,67.0,165,187,30-3,0,8,1
M Kapp,female,Oval Invincibles,16,423,16,6.0,332,48,9,64.0,298,304,9-4,23,6,3
MK Villiers,female,Oval Invincibles,23,112,16,5.0,102,8,2,22.0,275,361,12-4,7,6,1
SJ Bryce,female,Welsh Fire,22,269,14,6.0,239,24,4,44.0,0,0,,0,11,0
NE Farrant,female,Oval Invincibles,9,7,3,1.0,8,0,0,4.0,179,188,11-4,6,3,2
S Ismail,female,Welsh Fire,20,13,2,1.0,16,2,0,8.0,396,454,12-3,26,4,2
D Gregory,female,Oval Invincibles,5,1,1,1.0,1,0,0,1.0,50,73,13-1,1,1,0
KM Mack,female,Birmingham Phoenix,9,100,8,,99,9,0,31.0,0,0,,0,3,0
Shafali Verma,female,Birmingham Phoenix,8,171,8,1.0,120,24,2,76.0,0,0,,0,2,1
E Jones,female,Birmingham Phoenix,21,403,20,1.0,382,51,4,64.0,5,7,7-1,0,4,2
EL Arlott,female,Birmingham Phoenix,20,114,13,5.0,102,7,3,22.0,294,351,16-3,22,3,0
AE Jones,female,Birmingham Phoenix,21,448,20,4.0,325,60,3,48.0,0,0,,0,4,1
EA Burns,female,Birmingham Phoenix,17,254,16,1.0,217,34,1,45.0,245,296,15-2,12,5,1
GA Elwiss,female,Welsh Fire,21,185,15,4.0,170,17,0,33.0,286,382,29-3,8,5,0
IECM Wong,female,Birmingham Phoenix,18,132,15,2.0,110,6,6,27.0,237,336,25-2,33,1,0
GM Davies,female,Birmingham Phoenix,13,56,7,1.0,55,8,0,20.0,0,0,,0,4,0
KL Gordon,female,Trent Rockets,22,29,7,5.0,24,2,0,11.0,395,480,14-3,14,6,1
AH Maqsood,female,Birmingham Phoenix,15,5,5,4.0,9,0,0,2.0,200,264,14-2,4,0,0
ND Dattani,female,Trent Rockets,20,183,18,4.0,200,16,2,38.0,105,200,24-2,10,0,1
DJS Dottin,female,Manchester Originals,17,401,17,3.0,300,46,16,68.0,109,156,22-2,12,3,2
HC Knight,female,London Spirit,13,326,13,1.0,262,44,2,44.0,90,102,17-2,1,3,0
DB Sharma,female,London Spirit,8,77,5,1.0,68,6,0,34.0,155,137,10-2,8,1,1
CL Tryon,female,Southern Brave,14,99,12,3.0,97,8,1,23.0,155,191,26-2,3,4,0
SE Rowe,female,London Spirit,3,0,2,,3,0,0,0.0,0,0,,0,0,0
CE Dean,female,London Spirit,19,99,12,3.0,91,13,0,18.0,320,398,20-2,6,5,0
AD Carr,female,London Spirit,6,19,3,2.0,22,2,0,11.0,0,0,,0,0,0
DR Gibson,female,London Spirit,19,282,19,5.0,187,41,6,36.0,223,324,12-2,20,9,1
FR Davies,female,Welsh Fire,20,22,7,1.0,37,1,0,8.0,351,474,25-3,20,3,0
AZ Monaghan,female,London Spirit,14,11,5,,15,1,0,4.0,0,0,,0,6,0
DN Wyatt,female,Southern Brave,24,561,24,2.0,430,80,10,69.0,15,27,17-2,2,12,3
S Mandhana,female,Southern Brave,22,604,22,3.0,433,83,14,78.0,0,0,,0,14,3
SIR Dunkley,female,Welsh Fire,23,661,22,4.0,496,79,10,68.0,65,89,15-2,1,9,4
SR Taylor,female,Southern Brave,9,182,9,5.0,179,15,1,45.0,115,149,15-1,8,1,1
ME Bouchier,female,Southern Brave,24,397,21,7.0,311,45,6,63.0,0,0,,0,15,1
A Wellington,female,Manchester Originals,22,99,10,3.0,80,12,1,33.0,425,474,12-4,8,6,2
