player_name,gender,current_team,games_played,runs_scored,innings,not_outs,balls_faced,fours,sixes,high_score,balls_bowled,runs_conceded,wickets_taken,extras,catches,POMs,bowler,sets
JJ Roy,male,Oval Invincibles,22,391,22,2.0,296,42,13,59.0,0,0,0.0,0,9,1,,
SM Curran,male,Oval Invincibles,18,318,18,1.0,246,20,16,60.0,341,527,19.0,26,11,2,SM Curran,68.2
SP Narine,male,Oval Invincibles,18,145,14,4.0,107,8,11,23.0,345,397,25.0,10,2,1,SP Narine,69.0
WG Jacks,male,Oval Invincibles,23,634,23,1.0,382,62,34,108.0,75,88,7.0,6,9,3,WG Jacks,15.0
SW Billings,male,Oval Invincibles,23,359,23,6.0,255,30,14,76.0,0,0,0.0,0,10,3,,
CA Ingram,male,Oval Invincibles,7,120,7,1.0,92,9,5,81.0,0,0,0.0,0,4,0,,
LJ Evans,male,Manchester Originals,27,409,26,7.0,260,32,21,72.0,0,0,0.0,0,9,2,,
TK Curran,male,Oval Invincibles,20,373,16,9.0,211,30,23,67.0,382,558,25.0,29,8,3,TK Curran,76.4
NA Sowter,male,Oval Invincibles,13,21,4,2.0,12,3,0,7.0,200,297,13.0,7,7,0,NA Sowter,40.0
S Mahmood,male,Oval Invincibles,7,9,3,2.0,12,0,0,7.0,120,173,5.0,4,3,0,S Mahmood,24.0
RJW Topley,male,Northern Superchargers,19,23,2,2.0,11,5,0,12.0,329,499,24.0,20,2,0,RJW Topley,65.8
PD Salt,male,Manchester Originals,27,707,27,1.0,436,74,32,86.0,0,0,0.0,0,12,2,,
JC Buttler,male,Manchester Originals,17,632,17,1.0,446,52,25,82.0,0,0,0.0,0,15,1,,
JM Clarke,male,Welsh Fire,23,412,23,2.0,326,39,15,69.0,0,0,0.0,0,15,1,,
C Munro,male,Trent Rockets,23,592,22,6.0,382,50,28,67.0,0,0,0.0,0,5,2,,
TA Lammonby,male,Manchester Originals,11,120,8,3.0,90,13,3,27.0,5,8,1.0,0,5,0,TA Lammonby,1.0
CR Brathwaite,male,Manchester Originals,7,94,6,2.0,67,4,7,37.0,91,149,3.0,6,5,0,CR Brathwaite,18.2
CG Harrison,male,Manchester Originals,9,38,4,,34,5,0,23.0,95,127,7.0,5,7,1,CG Harrison,19.0
TW Hartley,male,Manchester Originals,26,98,12,6.0,86,5,3,17.0,355,486,26.0,19,13,1,TW Hartley,71.0
FJ Klaassen,male,Manchester Originals,8,11,4,2.0,13,1,0,6.0,114,188,7.0,6,3,0,FJ Klaassen,22.8
ST Finn,male,Manchester Originals,5,11,1,1.0,7,2,0,11.0,55,115,6.0,6,2,0,ST Finn,11.0
MW Parkinson,male,Manchester Originals,16,11,4,1.0,13,0,1,6.0,267,350,21.0,7,3,1,MW Parkinson,53.4
Z Crawley,male,London Spirit,13,260,11,,212,32,7,64.0,0,0,0.0,0,6,1,,
JP Inglis,male,London Spirit,8,176,8,,135,18,5,72.0,0,0,0.0,0,4,0,,
DW Lawrence,male,London Spirit,16,286,14,,200,21,13,93.0,84,116,6.0,0,5,2,DW Lawrence,16.8
EJG Morgan,male,London Spirit,16,281,16,2.0,208,15,17,47.0,0,0,0.0,0,4,0,,
JL Denly,male,London Spirit,5,66,5,,68,4,2,35.0,10,12,0.0,1,2,0,JL Denly,2.0
RS Bopara,male,London Spirit,17,232,15,3.0,168,18,10,45.0,65,85,7.0,2,7,1,RS Bopara,13.0
Mohammad Nabi,male,London Spirit,5,33,5,1.0,32,2,1,10.0,95,107,6.0,0,2,0,Mohammad Nabi,19.0
RE van der Merwe,male,Welsh Fire,20,133,12,10.0,99,12,3,30.0,245,416,14.0,18,8,0,RE van der Merwe,49.0
BC Cullen,male,London Spirit,7,18,4,2.0,15,1,1,15.0,120,210,11.0,11,1,0,BC Cullen,24.0
CP Wood,male,London Spirit,11,6,3,1.0,5,1,0,5.0,205,335,8.0,23,3,0,CP Wood,41.0
Mohammad Amir,male,London Spirit,4,18,3,1.0,21,1,0,16.0,77,132,3.0,12,0,0,Mohammad Amir,15.4
FH Allen,male,Southern Brave,17,405,17,,276,45,16,69.0,0,0,0.0,0,7,0,,
Miles Hammond,male,Birmingham Phoenix,16,232,14,4.0,172,26,6,44.0,0,0,0.0,0,3,0,,
LS Livingstone,male,Birmingham Phoenix,21,621,21,4.0,410,32,46,92.0,153,241,9.0,4,4,2,LS Livingstone,30.6
MM Ali,male,Birmingham Phoenix,21,485,21,,330,26,35,59.0,220,310,12.0,2,9,1,MM Ali,44.0
DJ Bell-Drummond,male,London Spirit,8,152,8,,118,14,4,46.0,0,0,0.0,0,2,1,,
CG Benjamin,male,Birmingham Phoenix,21,208,18,6.0,171,18,8,37.0,0,0,0.0,0,9,1,,
BAC Howell,male,Birmingham Phoenix,24,183,18,7.0,138,12,6,23.0,420,519,28.0,10,7,0,BAC Howell,84.0
CB Cooke,male,Birmingham Phoenix,4,20,3,,21,1,0,11.0,0,0,0.0,0,1,0,,
AF Milne,male,Birmingham Phoenix,15,32,7,5.0,30,2,1,13.0,235,265,26.0,23,6,1,AF Milne,47.0
TG Helm,male,Birmingham Phoenix,19,53,7,2.0,53,3,2,17.0,260,429,22.0,25,5,0,TG Helm,52.0
Imran Tahir,male,Birmingham Phoenix,15,6,2,1.0,2,0,1,6.0,259,391,12.0,9,6,1,Imran Tahir,51.8
JM Vince,male,Southern Brave,26,556,24,3.0,401,56,18,71.0,0,0,0.0,0,13,2,,
DP Conway,male,Southern Brave,13,312,13,3.0,263,32,4,54.0,0,0,0.0,0,6,1,,
AL Davies,male,Southern Brave,18,357,16,3.0,282,32,6,51.0,0,0,0.0,0,12,2,,
DMW Rawlins,male,Southern Brave,1,7,1,,7,1,0,7.0,0,0,0.0,0,0,0,,
C de Grandhomme,male,Southern Brave,8,56,6,2.0,46,3,2,40.0,40,92,0.0,8,2,0,C de Grandhomme,8.0
RA Whiteley,male,Oval Invincibles,24,321,18,4.0,234,28,13,52.0,0,0,0.0,0,11,0,,
LA Dawson,male,London Spirit,21,72,13,6.0,60,5,2,24.0,319,428,17.0,5,5,0,LA Dawson,63.8
CJ Jordan,male,Southern Brave,19,183,10,5.0,104,11,13,70.0,326,488,26.0,21,4,2,CJ Jordan,65.2
GHS Garton,male,Southern Brave,21,99,11,2.0,79,10,4,28.0,320,496,19.0,29,3,3,GHS Garton,64.0
DR Briggs,male,Oval Invincibles,11,40,5,4.0,24,5,1,29.0,140,202,10.0,0,1,0,DR Briggs,28.0
TS Mills,male,Southern Brave,20,0,2,,3,0,0,0.0,367,451,26.0,20,3,1,TS Mills,73.4
DJM Short,male,Trent Rockets,9,156,9,3.0,129,20,2,69.0,20,39,0.0,2,3,1,DJM Short,4.0
AD Hales,male,Trent Rockets,25,532,25,1.0,376,62,18,59.0,0,0,0.0,0,12,2,,
DJ Malan,male,Trent Rockets,22,619,21,2.0,434,58,24,98.0,0,0,0.0,0,4,4,,
JE Root,male,Trent Rockets,10,176,8,2.0,119,17,5,72.0,70,94,3.0,4,8,0,JE Root,14.0
TJ Moores,male,Trent Rockets,14,79,8,2.0,65,1,5,19.0,0,0,0.0,0,7,0,,
L Gregory,male,Trent Rockets,25,279,20,12.0,189,21,10,35.0,206,313,9.0,12,7,0,L Gregory,41.2
SJ Mullaney,male,Trent Rockets,6,92,5,,64,8,4,49.0,25,31,2.0,0,3,0,SJ Mullaney,5.0
SR Patel,male,Trent Rockets,20,238,12,2.0,168,13,15,46.0,294,401,21.0,14,3,1,SR Patel,58.8
Rashid Khan,male,Trent Rockets,11,46,5,,35,4,3,25.0,210,295,15.0,10,6,1,Rashid Khan,42.0
L Wood,male,Trent Rockets,21,19,5,4.0,18,1,0,10.0,344,512,21.0,41,6,0,L Wood,68.8
M de Lange,male,Trent Rockets,7,14,2,1.0,9,1,1,7.0,119,162,15.0,9,2,1,M de Lange,23.8
JM Bairstow,male,Welsh Fire,6,215,6,,165,14,11,72.0,0,0,0.0,0,1,1,,
T Banton,male,Northern Superchargers,22,324,21,,263,28,14,81.0,0,0,0.0,0,6,0,,
BM Duckett,male,Birmingham Phoenix,23,622,23,2.0,454,73,9,65.0,0,0,0.0,0,9,0,,
GD Phillips,male,Welsh Fire,16,312,15,3.0,224,23,16,80.0,29,56,0.0,0,9,1,GD Phillips,5.8
JDS Neesham,male,Oval Invincibles,9,108,9,3.0,71,11,3,57.0,80,121,7.0,1,2,0,JDS Neesham,16.0
IA Cockbain,male,Trent Rockets,7,113,7,3.0,89,12,3,32.0,0,0,0.0,0,4,0,,
MJJ Critchley,male,London Spirit,18,218,13,5.0,158,15,10,55.0,215,348,10.0,9,3,0,MJJ Critchley,43.0
LE Plunkett,male,Welsh Fire,1,0,0,,0,0,0,,15,49,0.0,4,0,0,LE Plunkett,3.0
Qais Ahmad,male,Welsh Fire,8,15,3,1.0,12,3,0,13.0,155,189,8.0,2,0,1,Qais Ahmad,31.0
JT Ball,male,Welsh Fire,12,1,1,1.0,6,0,0,1.0,226,331,14.0,15,3,0,JT Ball,45.2
DA Payne,male,Welsh Fire,22,10,5,1.0,11,0,1,8.0,381,615,20.0,17,2,0,DA Payne,76.2
A Lyth,male,Northern Superchargers,17,368,16,,233,29,23,79.0,20,23,2.0,0,4,2,A Lyth,4.0
CA Lynn,male,Northern Superchargers,7,150,7,,127,14,5,48.0,0,0,0.0,0,0,0,,
BA Stokes,male,Northern Superchargers,2,10,2,,14,1,0,5.0,31,33,3.0,6,0,0,BA Stokes,6.2
HC Brook,male,Northern Superchargers,19,512,18,5.0,305,43,25,105.0,0,0,0.0,0,13,2,,
DJ Willey,male,Welsh Fire,21,300,19,5.0,238,18,14,81.0,304,435,19.0,7,9,1,DJ Willey,60.8
T Kohler-Cadmore,male,Trent Rockets,20,390,20,,311,28,16,71.0,0,0,0.0,0,8,0,,
JA Simpson,male,Northern Superchargers,11,183,10,2.0,129,21,4,71.0,0,0,0.0,0,11,1,,
BA Carse,male,Northern Superchargers,13,83,9,4.0,67,7,2,33.0,135,251,5.0,8,6,0,BA Carse,27.0
MJ Potts,male,Northern Superchargers,9,29,3,3.0,18,3,1,20.0,140,238,3.0,10,5,0,MJ Potts,28.0
AU Rashid,male,Northern Superchargers,23,38,7,1.0,40,4,1,13.0,442,558,31.0,10,6,0,AU Rashid,88.4
Mujeeb Ur Rahman,male,Northern Superchargers,7,0,1,,2,0,0,0.0,130,157,7.0,2,2,0,Mujeeb Ur Rahman,26.0
CF Parkinson,male,Northern Superchargers,9,4,4,3.0,7,0,0,2.0,160,240,10.0,8,3,0,CF Parkinson,32.0
M Carter,male,Trent Rockets,13,37,8,3.0,28,2,2,14.0,210,299,12.0,4,5,1,M Carter,42.0
JJ Cobb,male,Welsh Fire,12,87,10,1.0,77,6,4,28.0,55,76,2.0,0,6,0,JJ Cobb,11.0
Q de Kock,male,Southern Brave,16,317,15,2.0,223,36,10,72.0,0,0,0.0,0,14,2,,
C Overton,male,Southern Brave,12,11,3,2.0,13,0,0,6.0,205,301,12.0,7,7,0,C Overton,41.0
JB Lintott,male,Southern Brave,17,21,3,3.0,21,1,0,10.0,310,434,20.0,11,2,0,JB Lintott,62.0
T van der Gugten,male,Birmingham Phoenix,4,1,1,1.0,1,0,0,1.0,25,65,1.0,3,0,0,T van der Gugten,5.0
AM Rossington,male,London Spirit,22,460,20,,273,43,25,66.0,0,0,0.0,0,15,1,,
MS Crane,male,London Spirit,16,5,3,2.0,7,0,0,3.0,268,397,18.0,16,8,0,MS Crane,53.6
JL du Plooy,male,Southern Brave,19,349,17,2.0,260,22,11,43.0,5,17,0.0,2,8,0,JL du Plooy,1.0
RF Higgins,male,Welsh Fire,5,29,5,3.0,34,1,0,11.0,60,73,6.0,2,2,0,RF Higgins,12.0
CN Ackermann,male,Southern Brave,10,123,8,2.0,109,10,3,53.0,80,91,4.0,6,3,0,CN Ackermann,16.0
LH Ferguson,male,Welsh Fire,7,27,3,1.0,20,0,3,13.0,115,163,6.0,6,0,0,LH Ferguson,23.0
J Clark,male,Oval Invincibles,3,0,1,,1,0,0,0.0,5,6,0.0,0,1,0,J Clark,1.0
T Shamsi,male,Trent Rockets,12,0,0,,0,0,0,,220,310,13.0,9,0,0,T Shamsi,44.0
DJ Vilas,male,Northern Superchargers,5,95,5,2.0,75,8,1,36.0,0,0,0.0,0,3,0,,
JA Thompson,male,London Spirit,18,90,13,1.0,75,4,6,27.0,251,397,18.0,12,4,1,JA Thompson,50.2
WCF Smeed,male,Birmingham Phoenix,21,428,21,2.0,268,42,22,101.0,0,0,0.0,0,12,2,,
PR Brown,male,Oval Invincibles,7,0,0,,0,0,0,,90,179,6.0,2,0,0,PR Brown,18.0
ME Milnes,male,Oval Invincibles,10,5,4,1.0,6,1,0,4.0,159,277,8.0,5,5,0,ME Milnes,31.8
BA Raine,male,Manchester Originals,9,35,5,3.0,28,5,0,18.0,123,222,10.0,13,2,0,BA Raine,24.6
LM Reece,male,London Spirit,2,24,2,,25,1,2,24.0,5,11,0.0,0,0,0,LM Reece,1.0
SR Hain,male,Trent Rockets,10,181,9,2.0,133,17,4,63.0,0,0,0.0,0,3,1,,
PR Stirling,male,Oval Invincibles,10,216,9,1.0,136,22,12,74.0,63,68,2.0,1,2,1,PR Stirling,12.6
GG White,male,Welsh Fire,3,17,2,1.0,12,1,1,14.0,45,89,0.0,6,1,0,GG White,9.0
LJ Fletcher,male,Trent Rockets,6,6,2,1.0,5,1,0,4.0,90,141,4.0,6,1,0,LJ Fletcher,18.0
Wahab Riaz,male,Northern Superchargers,2,0,0,,0,0,0,,30,45,5.0,0,1,0,Wahab Riaz,6.0
AJ Blake,male,Oval Invincibles,3,54,3,1.0,39,2,4,44.0,0,0,0.0,0,2,0,,
SJ Cook,male,Trent Rockets,16,1,1,1.0,1,0,0,1.0,276,420,21.0,12,6,1,SJ Cook,55.2
JB Cracknell,male,London Spirit,3,55,3,,41,5,2,35.0,0,0,0.0,0,2,0,,
BTJ Wheal,male,London Spirit,6,0,0,,0,0,0,,103,145,11.0,3,1,1,BTJ Wheal,20.6
DL Lloyd,male,Welsh Fire,2,6,2,,7,0,1,6.0,0,0,0.0,0,0,0,,
DY Pennington,male,Birmingham Phoenix,3,0,0,,0,0,0,,40,71,2.0,0,4,0,DY Pennington,8.0
D Wiese,male,Northern Superchargers,17,233,16,3.0,141,10,18,54.0,225,405,7.0,13,8,2,D Wiese,45.0
DA Douthwaite,male,Manchester Originals,1,4,1,,10,0,0,4.0,0,0,0.0,0,0,0,,
MD Fisher,male,Southern Brave,3,0,1,,1,0,0,0.0,34,50,1.0,2,0,0,MD Fisher,6.8
TB Abell,male,Welsh Fire,9,112,7,3.0,93,9,3,37.0,0,0,0.0,0,4,1,,
JW Dernbach,male,London Spirit,1,0,0,,0,0,0,,15,23,0.0,0,0,0,JW Dernbach,3.0
TH David,male,Southern Brave,17,196,14,4.0,115,15,13,44.0,15,32,0.0,0,5,0,TH David,3.0
DG Bedingham,male,Birmingham Phoenix,1,0,1,,2,0,0,0.0,0,0,0.0,0,1,0,,
L Lee,female,Trent Rockets,20,549,20,3.0,420,76,14,68.0,0,0,0.0,0,8,2,,
EL Lamb,female,Manchester Originals,19,330,19,,285,42,4,57.0,185,262,5.0,3,3,0,EL Lamb,37.0
GEB Boyce,female,Manchester Originals,5,37,3,,45,4,0,21.0,0,0,0.0,0,1,0,,
H Kaur,female,Trent Rockets,10,176,9,2.0,171,16,1,49.0,15,30,0.0,0,3,0,H Kaur,3.0
M du Preez,female,Trent Rockets,14,185,14,4.0,173,17,4,32.0,0,0,0.0,0,0,0,,
S Ecclestone,female,Manchester Originals,18,192,15,5.0,139,18,8,36.0,344,372,26.0,11,4,1,S Ecclestone,68.8
KL Cross,female,Northern Superchargers,23,47,10,4.0,45,4,1,15.0,443,555,30.0,33,7,1,KL Cross,88.6
CL Griffith,female,Oval Invincibles,17,98,13,5.0,75,8,3,30.0,0,0,0.0,0,3,0,,
E Threlkeld,female,Manchester Originals,19,77,8,4.0,79,6,0,17.0,0,0,0.0,0,8,0,,
L Jackson,female,Manchester Originals,3,2,1,1.0,2,0,0,2.0,45,72,4.0,7,1,0,L Jackson,9.0
A Hartley,female,Welsh Fire,17,3,2,2.0,5,0,0,2.0,315,400,15.0,14,3,0,A Hartley,63.0
GL Adams,female,Southern Brave,26,369,22,3.0,313,34,10,50.0,325,360,26.0,2,9,4,GL Adams,65.0
A Capsey,female,Oval Invincibles,22,380,21,3.0,290,52,7,59.0,270,286,21.0,5,13,2,A Capsey,54.0
GJ Gibbs,female,Oval Invincibles,9,46,5,2.0,40,6,0,21.0,40,61,2.0,8,6,0,GJ Gibbs,8.0
FC Wilson,female,Trent Rockets,22,201,21,1.0,218,22,0,25.0,0,0,0.0,0,2,0,,
D van Niekerk,female,Oval Invincibles,14,324,12,4.0,295,41,3,67.0,165,184,9.0,0,8,1,D van Niekerk,33.0
M Kapp,female,Oval Invincibles,16,423,16,6.0,332,48,9,64.0,298,292,32.0,23,6,3,M Kapp,59.6
MK Villiers,female,Oval Invincibles,23,112,16,5.0,102,8,2,22.0,275,357,14.0,7,6,1,MK Villiers,55.0
SJ Bryce,female,Welsh Fire,23,269,14,6.0,239,24,4,44.0,0,0,0.0,0,11,0,,
NE Farrant,female,Oval Invincibles,9,7,3,1.0,8,0,0,4.0,179,185,21.0,6,3,2,NE Farrant,35.8
S Ismail,female,Welsh Fire,21,13,2,1.0,16,2,0,8.0,396,433,21.0,26,4,2,S Ismail,79.2
D Gregory,female,Oval Invincibles,5,1,1,1.0,1,0,0,1.0,50,73,3.0,1,1,0,D Gregory,10.0
KM Mack,female,Birmingham Phoenix,9,100,8,,99,9,0,31.0,0,0,0.0,0,3,0,,
Shafali Verma,female,Birmingham Phoenix,8,171,8,1.0,120,24,2,76.0,0,0,0.0,0,2,1,,
E Jones,female,Birmingham Phoenix,22,415,21,1.0,393,52,4,64.0,5,7,1.0,0,4,2,E Jones,1.0
EL Arlott,female,Birmingham Phoenix,21,119,14,5.0,108,7,3,22.0,314,371,24.0,23,3,0,EL Arlott,62.8
AE Jones,female,Birmingham Phoenix,22,462,21,4.0,339,61,3,48.0,0,0,0.0,0,4,1,,
EA Burns,female,Birmingham Phoenix,18,267,17,1.0,225,36,1,45.0,260,316,11.0,13,5,1,EA Burns,52.0
GA Elwiss,female,Welsh Fire,22,185,15,4.0,170,17,0,33.0,286,381,18.0,8,5,0,GA Elwiss,57.2
IECM Wong,female,Birmingham Phoenix,19,133,16,2.0,113,6,6,27.0,242,351,9.0,36,2,0,IECM Wong,48.4
GM Davies,female,Birmingham Phoenix,13,56,7,1.0,55,8,0,20.0,0,0,0.0,0,4,0,,
KL Gordon,female,Trent Rockets,22,29,7,5.0,24,2,0,11.0,395,475,32.0,14,6,1,KL Gordon,79.0
AH Maqsood,female,Birmingham Phoenix,15,5,5,4.0,9,0,0,2.0,200,263,8.0,4,0,0,AH Maqsood,40.0
ND Dattani,female,Trent Rockets,20,183,18,4.0,200,16,2,38.0,105,194,5.0,10,0,1,ND Dattani,21.0
DJS Dottin,female,Manchester Originals,18,405,18,3.0,308,46,16,68.0,109,155,8.0,12,3,2,DJS Dottin,21.8
HC Knight,female,London Spirit,13,326,13,1.0,262,44,2,44.0,90,99,5.0,1,3,0,HC Knight,18.0
DB Sharma,female,London Spirit,8,77,5,1.0,68,6,0,34.0,155,137,10.0,8,1,1,DB Sharma,31.0
CL Tryon,female,Southern Brave,16,112,14,4.0,111,9,1,23.0,195,242,6.0,4,4,0,CL Tryon,39.0
SE Rowe,female,London Spirit,3,0,2,,3,0,0,0.0,0,0,0.0,0,0,0,,
CE Dean,female,London Spirit,20,99,12,3.0,91,13,0,18.0,335,407,12.0,6,6,0,CE Dean,67.0
AD Carr,female,Manchester Originals,7,19,3,2.0,22,2,0,11.0,0,0,0.0,0,0,0,,
DR Gibson,female,London Spirit,20,300,20,5.0,197,45,6,36.0,233,329,13.0,21,10,1,DR Gibson,46.6
FR Davies,female,Welsh Fire,21,22,7,1.0,37,1,0,8.0,351,462,22.0,20,3,0,FR Davies,70.2
AZ Monaghan,female,London Spirit,14,11,5,,15,1,0,4.0,0,0,0.0,0,6,0,,
DN Wyatt,female,Southern Brave,26,680,26,2.0,500,97,12,69.0,20,34,3.0,2,13,5,DN Wyatt,4.0
S Mandhana,female,Southern Brave,24,616,24,3.0,442,85,14,78.0,0,0,0.0,0,15,3,,
SIR Dunkley,female,Welsh Fire,24,699,23,4.0,524,82,11,68.0,65,87,5.0,1,9,4,SIR Dunkley,13.0
SR Taylor,female,Southern Brave,9,182,9,5.0,179,15,1,45.0,115,152,3.0,8,1,1,SR Taylor,23.0
ME Bouchier,female,Southern Brave,26,448,23,8.0,343,49,8,63.0,0,0,0.0,0,16,1,,
A Wellington,female,Manchester Originals,23,99,10,3.0,80,12,1,33.0,445,494,36.0,8,6,2,A Wellington,89.0
A Shrubsole,female,Southern Brave,26,55,7,4.0,48,5,2,40.0,459,515,31.0,29,2,0,A Shrubsole,91.8
