match_id,player_name,balls_bowled,runs_conceded,how_many_out,extras
125,A King,15,24,1,0
125,A Shrubsole,22,21,2,2
125,A Stonehouse,14,8,0,8
125,BF Smith,20,34,2,0
125,CL Tryon,20,19,0,0
125,GL Adams,20,25,2,0
125,KH Brunt,17,30,0,2
125,KL Gordon,20,17,2,0
125,M Brown,22,39,0,2
125,MLL Taylor,20,18,3,0
125,ND Dattani,21,29,1,1
126,AN Davidson-Richards,21,18,4,2
126,C Pavely,5,9,0,0
126,EA Burns,16,15,0,2
126,EL Arlott,5,7,0,0
126,G Ballinger,20,24,0,0
126,G Wareham,21,23,1,1
126,HL Baker,13,20,1,0
126,IECM Wong,5,9,1,0
126,KA Levick,20,18,1,0
126,KL Cross,20,26,2,0
126,L Dobson,5,6,0,0
126,LCN Smith,15,10,1,0
126,SFM Devine,12,12,0,2
126,T Flintoff,5,16,0,0
127,A Griffiths,20,26,2,0
127,A Hartley,15,22,0,0
127,A Shrubsole,20,42,1,0
127,C Nicholas,10,13,0,0
127,CL Tryon,21,27,1,1
127,FR Davies,17,34,0,2
127,GL Adams,20,38,1,0
127,HK Matthews,21,34,2,1
127,K Moore,21,12,0,1
127,M Brown,7,16,0,3
127,MLL Taylor,15,25,0,0
127,S Ismail,21,27,0,1
128,A Shrubsole,21,12,2,1
128,AN Davidson-Richards,12,26,0,0
128,CL Tryon,20,25,2,0
128,G Ballinger,5,8,0,0
128,G Wareham,20,15,2,0
128,GL Adams,20,21,3,0
128,JI Rodrigues,10,18,0,0
128,K Moore,20,22,0,0
128,KL Cross,21,13,1,0
128,LCN Smith,21,10,2,1
128,LK Bell,20,14,1,0
129,A Capsey,5,7,0,0
129,A Griffiths,21,14,3,1
129,C Nicholas,21,16,1,1
129,E Gray,5,6,0,0
129,FR Davies,18,15,1,0
129,GA Elwiss,10,4,2,0
129,HK Matthews,5,8,0,0
129,LE Scott,5,9,0,0
129,M Kapp,21,17,4,1
129,PJ Scholfield,21,18,2,1
129,R MacDonald-Gay,15,17,0,0
129,S Ismail,20,12,3,0
129,SIR Dunkley,5,6,0,0
129,Sophia Smale,10,5,1,0
130,A Wellington,20,16,1,0
130,C Pavely,5,3,0,0
130,EA Burns,15,14,0,0
130,EL Arlott,5,3,0,0
130,FMK Morris,16,7,5,0
130,HL Baker,21,14,2,1
130,IECM Wong,5,5,0,0
130,KA Levick,20,12,2,0
130,KE Bryce,10,14,0,0
130,KL George,12,17,0,3
130,M Gaur,20,18,0,0
130,S Ecclestone,20,11,4,0
130,SFM Devine,15,21,0,2
130,T Flintoff,15,10,1,0
131,A Shrubsole,12,11,0,2
131,AC Kerr,20,31,0,0
131,CE Dean,11,11,1,1
131,CL Tryon,15,15,0,0
131,DR Gibson,19,17,1,2
131,GL Adams,20,11,4,0
131,K Moore,15,31,0,0
131,L Filer,13,13,0,3
131,LK Bell,21,23,1,1
131,M Brown,5,6,0,0
131,S Glenn,20,15,3,0
131,TG Norris,5,13,0,0
132,A King,21,30,1,5
132,A Stonehouse,10,10,1,0
132,AN Davidson-Richards,10,13,0,0
132,BF Smith,16,18,0,2
132,G Ballinger,15,18,0,0
132,G Wareham,22,20,2,4
132,KH Brunt,15,8,0,0
132,KL Cross,15,14,0,0
132,KL Gordon,20,25,1,0
132,LCN Smith,20,27,2,0
132,LF Higham,20,29,3,0
132,ND Dattani,22,33,1,2
133,A Capsey,7,11,0,2
133,A Wellington,20,29,2,0
133,E Gray,20,18,2,0
133,FMK Morris,15,19,1,0
133,KE Bryce,10,9,0,0
133,KL George,17,27,0,4
133,M Gaur,20,13,1,0
133,M Kapp,20,24,1,0
133,PJ Scholfield,21,19,1,1
133,R MacDonald-Gay,21,15,5,1
133,S Ecclestone,20,22,3,0
133,Sophia Smale,15,24,0,0
134,A Griffiths,20,23,1,0
134,C Nicholas,20,26,0,0
134,EA Burns,11,5,0,1
134,EL Arlott,21,28,2,5
134,FR Davies,20,20,0,0
134,GA Elwiss,10,17,0,0
134,HL Baker,20,21,2,0
134,IECM Wong,13,11,0,7
134,KA Levick,21,27,2,1
134,S Ismail,21,30,3,1
134,SFM Devine,10,19,0,0
134,SIR Dunkley,10,16,0,0
134,T Flintoff,10,11,1,0
135,A Capsey,15,16,1,0
135,AN Davidson-Richards,21,24,1,2
135,E Gray,10,13,1,0
135,G Ballinger,21,19,0,2
135,G Wareham,20,20,2,0
135,KL Cross,20,32,1,0
135,LCN Smith,20,26,1,0
135,M Kapp,21,20,2,2
135,MK Villiers,21,25,0,1
135,PJ Scholfield,10,23,0,0
135,R MacDonald-Gay,15,30,0,0
135,Sophia Smale,11,12,0,1
136,A King,20,18,1,0
136,A Stonehouse,21,26,0,1
136,AC Kerr,10,18,0,0
136,BF Smith,20,19,1,0
136,CE Dean,15,11,1,0
136,DR Gibson,12,23,1,2
136,G Potts,7,8,0,3
136,G Scrivens,10,30,0,0
136,J Gardner,7,8,0,2
136,KL Gordon,20,19,2,0
136,L Filer,16,20,1,1
136,ND Dattani,10,20,0,0
136,S Glenn,20,19,2,0
136,TG Norris,5,2,0,0
137,A Griffiths,15,22,0,0
137,A Shrubsole,20,22,1,0
137,C Nicholas,15,29,0,0
137,CL Tryon,20,31,1,0
137,FR Davies,21,28,3,1
137,GA Elwiss,20,25,2,0
137,GL Adams,20,22,2,0
137,K Moore,21,23,0,1
137,LK Bell,23,40,1,4
137,S Ismail,20,19,3,0
137,SIR Dunkley,10,12,0,0
138,A Wellington,20,21,0,0
138,AN Davidson-Richards,15,23,3,0
138,DJS Dottin,12,14,1,2
138,FMK Morris,20,19,1,0
138,G Ballinger,12,12,1,2
138,G Wareham,20,22,0,0
138,KE Bryce,15,24,1,0
138,KL Cross,16,15,1,2
138,KL George,5,18,0,0
138,LCN Smith,16,24,1,1
138,LF Higham,5,5,1,0
138,M Gaur,11,17,1,1
138,S Ecclestone,20,17,1,0
139,A Capsey,5,9,0,0
139,E Gray,21,25,0,1
139,EA Burns,20,30,0,0
139,EL Arlott,5,13,0,0
139,HL Baker,20,20,2,0
139,IECM Wong,6,12,0,2
139,KA Levick,20,19,2,0
139,M Kapp,20,16,0,0
139,MK Villiers,5,7,0,0
139,PJ Scholfield,20,30,3,0
139,R MacDonald-Gay,21,26,3,2
139,SFM Devine,10,14,0,0
139,Sophia Smale,10,15,0,0
139,T Flintoff,22,28,1,2
140,A Griffiths,21,24,0,1
140,A Hartley,15,28,1,0
140,A King,20,16,1,0
140,A Stonehouse,20,31,0,0
140,BF Smith,21,50,0,2
140,C Nicholas,15,23,0,0
140,CM McCarthy,11,23,0,1
140,FR Davies,20,19,2,0
140,KL Gordon,20,27,2,0
140,ND Dattani,11,26,0,1
140,S Ismail,20,23,1,0
140,SIR Dunkley,10,16,1,0
141,A Capsey,10,18,0,0
141,AC Kerr,20,16,4,0
141,CE Dean,20,20,2,0
141,DR Gibson,10,6,1,0
141,E Gray,7,8,0,2
141,L Filer,15,16,0,0
141,M Kapp,20,13,3,0
141,MK Villiers,21,18,2,2
141,PJ Scholfield,11,13,0,2
141,R MacDonald-Gay,22,21,2,2
141,S Glenn,20,20,1,0
141,Sophia Smale,15,15,2,0
141,TG Norris,16,18,2,1
142,A Shrubsole,21,28,2,2
142,AH Maqsood,5,10,0,0
142,CL Tryon,20,22,0,0
142,EA Burns,20,18,1,0
142,EL Arlott,16,20,2,2
142,GL Adams,20,25,2,0
142,HL Baker,20,24,0,0
142,K Moore,21,23,1,1
142,KA Levick,20,23,1,0
142,LK Bell,24,23,3,4
142,SFM Devine,7,7,0,2
142,T Flintoff,17,18,0,3
143,A King,20,12,1,0
143,A Stonehouse,24,21,1,6
143,A Wellington,10,21,0,0
143,BF Smith,20,27,1,0
143,FMK Morris,10,11,0,0
143,KE Bryce,5,9,0,0
143,KH Brunt,21,19,1,1
143,KL Gordon,20,18,1,0
143,M Gaur,20,30,0,0
143,S Ecclestone,19,34,1,0
144,AC Kerr,20,24,2,0
144,AN Davidson-Richards,15,22,1,0
144,CE Dean,20,20,0,2
144,DR Gibson,12,20,0,2
144,G Ballinger,20,20,1,0
144,G Wareham,20,34,3,0
144,KL Cross,20,27,0,0
144,L Filer,22,30,1,2
144,LCN Smith,17,13,1,3
144,LF Higham,10,14,1,0
144,S Glenn,20,19,3,0
144,TG Norris,10,17,0,0
145,A King,20,23,2,0
145,A Stonehouse,21,18,0,2
145,BF Smith,20,34,0,0
145,C Brewer,11,25,0,1
145,EA Burns,5,7,0,0
145,EL Arlott,20,15,3,0
145,HL Baker,20,21,0,0
145,KA Levick,20,30,2,0
145,KH Brunt,21,31,0,1
145,KL Gordon,20,20,2,0
145,SFM Devine,16,18,1,1
145,T Flintoff,12,7,0,6
146,A Shrubsole,16,18,1,1
146,CL Tryon,20,19,0,0
146,E Gray,11,23,0,0
146,GL Adams,21,22,2,1
146,K Moore,20,25,1,0
146,LK Bell,23,30,1,5
146,M Brown,6,7,1,1
146,M Kapp,22,15,1,3
146,MK Villiers,15,25,0,0
146,N de Klerk,16,19,1,1
146,PJ Scholfield,22,23,1,2
146,R MacDonald-Gay,7,7,0,2
146,Sophia Smale,10,10,0,0
147,A Wellington,20,17,2,0
147,AN Davidson-Richards,16,23,0,1
147,EL Lamb,10,9,0,0
147,FMK Morris,20,16,1,0
147,G Ballinger,10,12,0,0
147,G Wareham,20,7,3,0
147,KE Bryce,21,18,3,1
147,KL Cross,21,24,1,1
147,LCN Smith,20,22,1,0
147,LF Higham,14,17,2,0
147,M Gaur,17,18,2,3
147,PC Graham,11,16,0,1
147,S Ecclestone,5,7,0,0
148,A Griffiths,10,19,0,0
148,A Hartley,15,20,1,0
148,AC Kerr,21,26,2,1
148,C Nicholas,20,21,1,0
148,CE Dean,20,31,0,0
148,DR Gibson,6,12,0,2
148,FR Davies,22,29,1,6
148,L Filer,7,8,0,3
148,S Glenn,20,24,0,0
148,S Ismail,20,26,2,0
148,S Munro,17,21,2,3
148,SIR Dunkley,16,14,2,1
148,TG Norris,15,29,0,0
149,A King,20,36,0,0
149,A Stonehouse,22,35,2,4
149,BF Smith,21,31,1,1
149,CM McCarthy,12,6,0,3
149,E Gray,10,12,1,0
149,KL Gordon,20,19,2,0
149,M Kapp,21,26,1,1
149,N de Klerk,21,34,1,1
149,ND Dattani,11,13,1,1
149,PJ Scholfield,20,31,2,0
149,R MacDonald-Gay,11,18,0,2
149,Sophia Smale,20,26,3,0
150,A Griffiths,5,8,0,0
150,A Hartley,16,22,1,1
150,AN Davidson-Richards,22,26,2,3
150,C Nicholas,21,19,1,1
150,FR Davies,21,31,1,1
150,G Ballinger,21,23,3,5
150,G Wareham,21,26,0,2
150,GA Elwiss,10,16,0,0
150,HJ Armitage,11,13,0,6
150,KL Cross,21,17,2,2
150,LF Higham,13,5,1,0
150,S Ismail,20,26,0,0
150,SIR Dunkley,10,14,1,0
151,A Shrubsole,21,32,2,1
151,A Wellington,20,28,0,0
151,CL Tryon,20,24,0,0
151,DN Wyatt,5,4,0,0
151,EL Lamb,5,20,0,0
151,FMK Morris,10,19,0,0
151,GL Adams,20,19,1,0
151,K Moore,15,23,0,0
151,KE Bryce,17,20,2,0
151,LK Bell,22,13,1,2
151,M Gaur,16,22,0,1
151,PC Graham,5,10,0,0
152,AC Kerr,16,13,4,0
152,C Pavely,16,26,1,3
152,CE Dean,15,14,2,0
152,DR Gibson,11,10,2,1
152,EA Burns,16,25,1,1
152,EL Arlott,21,24,1,1
152,IECM Wong,7,13,0,3
152,KA Levick,20,29,1,0
152,L Filer,7,18,0,4
152,S Glenn,20,22,2,0
152,S Munro,6,7,0,1
152,SFM Devine,10,21,1,0
152,T Flintoff,16,22,0,1
152,TG Norris,5,8,0,0
153,AN Davidson-Richards,10,10,0,0
153,G Ballinger,20,24,1,0
153,G Wareham,15,16,0,0
153,KL Cross,16,33,0,1
153,LF Higham,15,16,1,0
154,A Shrubsole,16,17,1,1
154,AN Davidson-Richards,20,31,0,0
154,CL Tryon,21,27,2,1
154,G Ballinger,20,28,1,0
154,G Wareham,20,28,0,0
154,GL Adams,21,20,0,1
154,K Moore,20,15,3,0
154,KL Cross,20,21,4,0
154,LF Higham,21,29,1,2
154,LK Bell,20,20,4,1
155,C Overton,20,33,2,0
155,CJ Jordan,20,18,4,0
155,DR Sams,20,25,4,1
155,GHS Garton,15,17,1,0
155,Imad Wasim,15,15,2,0
155,JK Fuller,10,18,0,0
155,L Gregory,16,18,3,1
155,L Wood,21,25,1,1
155,M Carter,10,15,0,0
155,Rehan Ahmed,16,16,0,1
155,SJ Cook,20,23,0,0
155,TS Mills,21,23,1,1
156,DA Payne,10,27,0,0
156,DJ Willey,11,15,2,2
156,Haris Rauf,10,15,0,0
156,J Little,13,18,2,4
156,JC Tongue,12,23,0,2
156,PI Walter,6,12,0,1
156,Shaheen Shah Afridi,10,24,2,0
156,TW Hartley,5,7,1,0
156,Usama Mir,10,22,0,0
157,AAP Atkinson,16,21,1,1
157,DJ Mitchell,5,5,0,0
157,DJ Worrall,21,22,2,1
157,JA Thompson,21,22,2,1
157,LA Dawson,20,29,0,0
157,MJJ Critchley,10,13,1,0
157,NA Sowter,22,32,3,2
157,NT Ellis,21,27,2,4
157,RS Bopara,5,8,0,0
157,SM Curran,22,29,3,2
157,SP Narine,20,14,2,0
157,TK Curran,20,22,1,0
157,ZJ Chappell,5,8,0,0
158,AU Rashid,17,14,1,0
158,BA Carse,5,16,0,0
158,D Wiese,12,20,0,3
158,MW Short,11,8,2,1
158,RJW Topley,11,6,1,1
158,WD Parnell,10,14,1,0
159,C Overton,21,36,2,5
159,DA Payne,20,27,1,0
159,DJ Willey,20,40,1,0
159,GHS Garton,15,19,1,0
159,Haris Rauf,21,25,4,2
159,JK Fuller,21,25,0,1
159,RE van der Merwe,20,33,1,0
159,Rehan Ahmed,20,28,2,0
159,Shaheen Shah Afridi,20,16,1,0
159,TH David,5,7,0,0
159,TS Mills,22,21,2,2
160,DJ Worrall,15,15,1,0
160,JA Thompson,10,28,0,0
160,LA Dawson,20,27,1,0
160,MJJ Critchley,12,24,1,6
160,NT Ellis,16,23,0,2
160,RS Bopara,11,11,2,2
161,AU Rashid,20,29,1,0
161,BA Carse,5,5,0,0
161,C Overton,15,23,0,0
161,CF Parkinson,21,19,0,1
161,D Wiese,10,19,0,0
161,GHS Garton,24,33,0,6
161,JK Fuller,11,38,0,1
161,JL du Plooy,6,14,0,2
161,MW Short,5,8,0,0
161,RJW Topley,22,28,3,2
161,Rehan Ahmed,20,21,1,0
161,TH David,10,25,0,0
161,TS Mills,22,34,2,2
161,WD Parnell,20,30,1,0
162,AAP Atkinson,20,26,3,0
162,BGF Green,21,24,2,2
162,DA Payne,22,31,2,2
162,DJ Willey,10,18,0,0
162,Haris Rauf,21,25,0,2
162,NA Sowter,5,5,0,0
162,RE van der Merwe,10,11,1,0
162,SM Curran,20,33,0,0
162,SP Narine,15,25,0,0
162,Shaheen Shah Afridi,21,21,2,1
162,TK Curran,21,25,2,2
162,ZJ Chappell,20,15,1,0
163,AF Milne,21,31,3,2
163,BAC Howell,20,21,4,0
163,DR Mousley,5,5,0,0
163,J Little,19,14,2,1
163,J Overton,7,12,0,2
163,KW Richardson,21,32,0,1
163,PI Walter,15,16,1,0
163,RJ Gleeson,21,21,2,1
163,Shadab Khan,20,39,0,0
163,TG Helm,16,27,1,1
163,TW Hartley,20,13,3,0
163,Usama Mir,21,26,2,1
164,DJ Mitchell,1,0,1,0
164,DJ Worrall,11,9,1,1
164,JA Thompson,5,11,0,0
164,LA Dawson,5,3,1,0
164,MJJ Critchley,5,10,0,0
165,AU Rashid,20,20,0,0
165,CF Parkinson,20,29,2,0
165,D Wiese,10,21,0,0
165,DR Sams,22,36,0,2
165,Imad Wasim,20,12,0,0
165,JE Root,21,23,2,1
165,L Gregory,5,7,0,0
165,L Wood,21,22,3,1
165,MW Short,10,17,0,0
165,RJW Topley,20,20,2,0
165,SJ Cook,15,34,0,0
165,WD Parnell,20,21,3,0
166,AAP Atkinson,20,22,2,2
166,J Little,21,37,1,1
166,J Overton,20,21,2,0
166,NA Sowter,20,34,2,0
166,PI Walter,20,39,1,0
166,RJ Gleeson,22,35,1,3
166,SH Johnson,20,1,3,0
166,SM Curran,11,16,0,1
166,SP Narine,20,12,3,0
166,TW Hartley,11,23,0,1
166,Usama Mir,10,26,0,0
167,AF Milne,12,20,0,3
167,BAC Howell,21,15,2,1
167,BGF Green,10,13,0,0
167,DA Payne,15,11,2,0
167,DJ Willey,5,2,0,0
167,DR Mousley,5,12,0,0
167,Haris Rauf,20,20,2,0
167,KW Richardson,6,10,0,1
167,LS Livingstone,5,7,0,0
167,LWP Wells,17,18,0,3
167,MM Ali,20,15,1,0
167,RE van der Merwe,15,16,2,0
167,Shadab Khan,15,16,1,0
167,Shaheen Shah Afridi,20,26,1,0
167,TG Helm,5,10,0,0
168,AAP Atkinson,23,19,3,3
168,AU Rashid,20,38,1,0
168,BA Carse,15,36,0,0
168,CF Parkinson,15,19,1,0
168,D Wiese,10,20,0,0
168,NA Sowter,20,48,1,0
168,RJW Topley,20,41,1,0
168,SH Johnson,21,35,1,1
168,SM Curran,21,30,2,1
168,SP Narine,20,35,1,0
168,WD Parnell,20,29,2,0
169,CP Wood,25,40,0,7
169,DJ Mitchell,11,18,0,1
169,DJ Worrall,20,23,2,0
169,DR Sams,15,33,0,0
169,IS Sodhi,21,24,2,5
169,JE Root,15,31,0,0
169,L Gregory,15,19,0,0
169,L Wood,18,26,0,5
169,LA Dawson,20,38,2,0
169,MJJ Critchley,10,22,0,0
169,NT Ellis,21,42,1,1
169,SJ Cook,22,45,2,3
170,BGF Green,10,11,0,0
170,C Overton,21,18,2,1
170,DA Payne,10,10,1,0
170,DJ Willey,5,14,0,0
170,GD Phillips,9,16,0,0
170,GHS Garton,15,8,3,0
170,Haris Rauf,10,15,0,0
170,JK Fuller,10,6,0,0
170,MD Fisher,22,22,1,2
170,RE van der Merwe,6,7,0,5
170,Rehan Ahmed,15,15,0,0
170,Shaheen Shah Afridi,10,10,0,0
170,TS Mills,20,13,4,0
171,AU Rashid,15,27,1,0
171,BA Carse,21,35,1,1
171,BA Raine,10,29,0,0
171,CF Parkinson,15,34,1,0
171,D Wiese,6,10,0,1
171,J Little,21,32,2,1
171,JC Tongue,21,24,1,1
171,PI Walter,10,26,1,0
171,RJW Topley,21,28,3,1
171,TW Hartley,10,9,1,0
171,Usama Mir,20,19,4,0
171,WD Parnell,16,43,0,1
172,AF Milne,20,18,3,0
172,BAC Howell,21,14,1,2
172,CR Woakes,21,19,1,2
172,KW Richardson,22,29,4,3
172,LS Livingstone,5,8,1,0
172,MM Ali,15,23,0,0
172,NA Sowter,15,16,2,0
172,SH Johnson,23,29,0,3
172,SM Curran,20,37,1,0
172,SP Narine,20,32,0,0
172,WG Jacks,10,8,0,0
172,ZJ Chappell,16,32,5,1
173,DJ Willey,15,15,2,0
173,DR Sams,20,35,2,0
173,Haris Rauf,20,19,0,0
173,IS Sodhi,20,29,1,0
173,JA Turner,21,20,3,2
173,JT Ball,20,26,2,0
173,L Gregory,20,35,0,0
173,L Wood,16,13,0,2
173,LWP Wells,7,6,0,3
173,RE van der Merwe,21,39,2,5
173,SR Patel,5,9,0,0
173,Shaheen Shah Afridi,20,28,0,0
174,A Zampa,21,23,2,1
174,CP Wood,23,44,0,5
174,DJ Mitchell,10,16,2,0
174,DJ Worrall,22,20,0,1
174,DW Lawrence,5,5,0,0
174,LA Dawson,21,40,0,1
174,MJJ Critchley,5,13,0,0
174,NA Sowter,15,28,1,0
174,NT Ellis,20,36,2,0
174,SH Johnson,16,21,0,5
174,SM Curran,22,37,1,3
174,WG Jacks,18,18,2,4
174,ZJ Chappell,17,38,1,3
175,AF Milne,12,15,0,3
175,BAC Howell,10,15,0,0
175,C Overton,15,14,0,0
175,CJ Jordan,17,17,1,3
175,CN Ackermann,21,18,1,1
175,CR Woakes,15,20,0,0
175,DR Mousley,5,0,1,1
175,GHS Garton,10,22,0,0
175,KW Richardson,5,5,1,0
175,LS Livingstone,10,20,0,0
175,MM Ali,20,17,1,0
175,Rehan Ahmed,21,21,3,1
175,T Sangha,22,20,3,3
175,TS Mills,21,19,3,1
176,DR Sams,20,28,2,0
176,IS Sodhi,16,27,0,2
176,J Overton,15,15,0,0
176,JC Tongue,22,30,3,2
176,L Gregory,21,28,2,2
176,L Wood,21,30,1,1
176,PI Walter,21,23,2,1
176,SJ Cook,10,32,1,0
176,SR Patel,15,29,0,0
176,TW Hartley,6,5,0,5
176,Usama Mir,23,38,0,7
176,Zaman Khan,22,40,0,2
177,AU Rashid,20,18,2,0
177,D Wiese,15,20,0,0
177,DJ Worrall,17,27,0,2
177,JA Thompson,15,33,0,0
177,LA Dawson,20,19,2,0
177,MJ Potts,16,36,0,1
177,MJJ Critchley,10,14,0,0
177,MW Short,10,19,0,0
177,NT Ellis,20,28,1,0
177,RJW Topley,20,20,3,0
177,RS Bopara,20,21,4,0
177,WD Parnell,20,46,1,0
178,AF Milne,20,24,2,0
178,BAC Howell,20,30,1,0
178,CR Woakes,22,28,1,2
178,DR Sams,21,16,3,1
178,IS Sodhi,21,21,1,1
178,KW Richardson,20,37,1,0
178,L Gregory,5,7,0,0
178,L Wood,20,42,2,0
178,M Carter,20,15,2,0
178,MM Ali,10,17,1,0
178,SJ Cook,15,11,1,0
178,T Sangha,11,22,0,2
179,A Zampa,20,22,2,0
179,C Overton,20,30,1,0
179,CJ Jordan,20,20,3,0
179,CN Ackermann,5,4,0,0
179,GHS Garton,15,21,0,0
179,NA Sowter,20,25,0,0
179,Rehan Ahmed,20,14,2,0
179,SH Johnson,15,22,0,0
179,SM Curran,20,18,1,0
179,TK Curran,21,42,3,1
179,TS Mills,21,38,1,1
179,WG Jacks,5,1,1,0
180,AU Rashid,20,18,4,0
180,BA Carse,10,19,0,0
180,CF Parkinson,20,31,1,0
180,CG Harrison,20,11,5,0
180,D Wiese,10,19,0,0
180,J Overton,5,5,1,0
180,JC Tongue,17,19,2,1
180,MW Short,10,18,0,0
180,RJW Topley,23,26,1,3
180,TW Hartley,20,25,2,0
180,WD Parnell,10,24,0,0
180,Zaman Khan,15,18,0,0
181,DA Payne,20,17,3,0
181,DJ Mitchell,5,15,0,0
181,DJ Willey,20,18,2,0
181,DJ Worrall,20,24,3,0
181,JA Thompson,15,10,0,0
181,LA Dawson,20,20,1,0
181,LH Ferguson,21,23,2,2
181,MJ Henry,20,15,2,0
181,NT Ellis,18,18,0,0
181,RE van der Merwe,21,26,0,5
181,RS Bopara,15,22,0,0
182,A Zampa,20,20,2,0
182,AAP Atkinson,20,28,1,0
182,DR Sams,20,38,2,0
182,IS Sodhi,12,26,0,0
182,L Gregory,15,21,0,0
182,L Wood,15,20,1,0
182,M Carter,15,21,1,0
182,NA Sowter,10,18,1,0
182,SH Johnson,11,10,1,2
182,SJ Cook,15,22,1,0
182,SM Curran,15,25,0,0
182,TK Curran,21,29,2,2
182,WG Jacks,5,8,0,0
183,AU Rashid,20,27,1,0
183,BA Carse,10,13,1,0
183,CF Parkinson,18,24,0,4
183,D Wiese,10,21,0,0
183,DA Payne,21,52,1,1
183,DJ Willey,15,10,2,0
183,LH Ferguson,15,25,0,0
183,LWP Wells,15,31,1,0
183,MJ Henry,16,7,1,5
183,MJ Potts,23,33,0,4
183,RE van der Merwe,21,23,2,1
183,RJW Topley,15,32,0,0
184,AJ Turner,15,24,1,0
184,CG Harrison,15,13,0,0
184,CJ Jordan,21,27,2,1
184,CN Ackermann,10,7,1,0
184,GHS Garton,11,12,0,1
184,J Overton,10,14,0,0
184,JC Tongue,10,23,1,0
184,MJ Santner,20,20,0,0
184,PI Walter,10,9,0,0
184,Rehan Ahmed,20,26,2,0
184,TS Mills,23,24,3,3
184,TW Hartley,15,27,0,0
184,Zaman Khan,24,17,2,5
185,AF Milne,20,20,4,0
185,BAC Howell,5,8,0,0
185,DJ Mitchell,11,19,0,2
185,DW Lawrence,20,35,0,0
185,JA Thompson,22,37,1,2
185,KW Richardson,10,11,0,0
185,LA Dawson,15,31,1,0
185,LS Livingstone,20,30,2,0
185,MS Crane,18,25,0,11
185,T Sangha,21,14,3,1
185,TG Helm,15,19,1,5
185,TG Southee,20,23,3,0
186,C Overton,15,47,0,0
186,CG Harrison,12,30,0,3
186,CJ Jordan,16,43,1,0
186,GHS Garton,10,27,0,0
186,J Little,22,34,0,3
186,J Overton,20,31,0,0
186,MJ Santner,16,16,1,1
186,PI Walter,15,27,1,0
186,RJ Gleeson,23,21,0,7
186,Rehan Ahmed,20,31,0,0
186,TS Mills,22,25,1,2
186,Zaman Khan,16,33,0,1
187,AAP Atkinson,21,42,0,5
187,DR Briggs,5,2,1,0
187,J Little,20,21,1,0
187,J Overton,12,12,0,2
187,NA Sowter,21,23,1,1
187,PI Walter,16,19,1,1
187,RJ Gleeson,20,37,2,0
187,SM Curran,22,29,1,2
187,TK Curran,22,23,1,2
187,TW Hartley,20,35,1,0
187,WG Jacks,16,10,2,1
187,Zaman Khan,16,29,0,2
