Station,Annual Visitors,,,,,,,,,,,,
Acton Town                         ,5.75,,,,,,,,,,,,
Aldgate                            ,6.88,,,,,,,,,,,,
Aldgate East                       ,11.66,,,,,,,,,,,,
Alperton                           ,2.96,,,,,,,,,,,,
Amersham                           ,2.04,,,,,,,,,,,,
Angel                              ,18.93,,,,,,,,,,,,
Archway                            ,8.17,,,,,,,,,,,,
Arnos Grove                        ,4.48,,,,,,,,,,,,
Arsenal                            ,3.09,,,,,,,,,,,,
Baker Street                       ,28.10,,,,,,,,,,,,
Balham                             ,12.05,,,,,,,,,,,,
Bank & Monument                    ,48.88,,,,,,,,,,,,
Barbican                           ,10.46,,,,,,,,,,,,
Barking                            ,15.22,,,,,,,,,,,,
Barkingside                        ,1.24,,,,,,,,,,,,
Barons Court                       ,7.16,,,,,,,,,,,,
Bayswater                          ,5.49,,,,,,,,,,,,
Becontree                          ,3.04,,,,,,,,,,,,
Belsize Park                       ,5.84,,,,,,,,,,,,
Bermondsey                         ,8.64,,,,,,,,,,,,
Bethnal Green                      ,15.27,,,,,,,,,,,,
Blackfriars                        ,12.09,,,,,,,,,,,,
Blackhorse Road                    ,7.90,,,,,,,,,,,,
Bond Street                        ,39.65,,,,,,,,,,,,
Borough                            ,4.89,,,,,,,,,,,,
Boston Manor                       ,2.08,,,,,,,,,,,,
Bounds Green                       ,6.16,,,,,,,,,,,,
Bow Road                           ,5.60,,,,,,,,,,,,
Brent Cross                        ,2.14,,,,,,,,,,,,
Brixton                            ,27.22,,,,,,,,,,,,
Bromley-by-Bow                     ,3.21,,,,,,,,,,,,
Buckhurst Hill                     ,1.94,,,,,,,,,,,,
Burnt Oak                          ,3.61,,,,,,,,,,,,
Caledonian Road                    ,5.94,,,,,,,,,,,,
Camden Town                        ,22.52,,,,,,,,,,,,
Canada Water                       ,11.56,,,,,,,,,,,,
Canary Wharf                       ,50.05,,,,,,,,,,,,
Canning Town                       ,9.78,,,,,,,,,,,,
Cannon Street                      ,4.64,,,,,,,,,,,,
Canons Park                        ,2.38,,,,,,,,,,,,
Chalfont & Latimer                 ,1.11,,,,,,,,,,,,
Chalk Farm                         ,5.55,,,,,,,,,,,,
Chancery Lane                      ,16.52,,,,,,,,,,,,
Charing Cross                      ,18.63,,,,,,,,,,,,
Chesham                            ,0.69,,,,,,,,,,,,
Chigwell                           ,0.52,,,,,,,,,,,,
Chiswick Park                      ,2.12,,,,,,,,,,,,
Chorleywood                        ,0.99,,,,,,,,,,,,
Clapham Common                     ,8.94,,,,,,,,,,,,
Clapham North                      ,6.17,,,,,,,,,,,,
Clapham South                      ,7.58,,,,,,,,,,,,
Cockfosters                        ,1.97,,,,,,,,,,,,
Colindale                          ,4.54,,,,,,,,,,,,
Colliers Wood                      ,5.79,,,,,,,,,,,,
Covent Garden                      ,21.17,,,,,,,,,,,,
Croxley                            ,0.92,,,,,,,,,,,,
Dagenham East                      ,2.42,,,,,,,,,,,,
Dagenham Heathway                  ,5.16,,,,,,,,,,,,
Debden                             ,2.30,,,,,,,,,,,,
Dollis Hill                        ,3.23,,,,,,,,,,,,
Ealing Broadway                    ,16.64,,,,,,,,,,,,
Ealing Common                      ,3.34,,,,,,,,,,,,
Earl's Court                       ,21.27,,,,,,,,,,,,
East Acton                         ,3.88,,,,,,,,,,,,
East Finchley                      ,6.56,,,,,,,,,,,,
East Ham                           ,13.58,,,,,,,,,,,,
East Putney                        ,5.65,,,,,,,,,,,,
Eastcote                           ,2.63,,,,,,,,,,,,
Edgware                            ,4.09,,,,,,,,,,,,
Edgware Road (Bak)                 ,0.00,,,,,,,,,,,,
Edgware Road (Cir)                 ,8.19,,,,,,,,,,,,
Elephant & Castle                  ,17.67,,,,,,,,,,,,
Elm Park                           ,2.63,,,,,,,,,,,,
Embankment                         ,20.15,,,,,,,,,,,,
Epping                             ,3.14,,,,,,,,,,,,
Euston                             ,38.03,,,,,,,,,,,,
Euston Square                      ,12.36,,,,,,,,,,,,
Fairlop                            ,0.97,,,,,,,,,,,,
Farringdon                         ,21.76,,,,,,,,,,,,
Finchley Central                   ,5.33,,,,,,,,,,,,
Finchley Road                      ,9.90,,,,,,,,,,,,
Finsbury Park                      ,27.07,,,,,,,,,,,,
Fulham Broadway                    ,9.94,,,,,,,,,,,,
Gants Hill                         ,5.99,,,,,,,,,,,,
Gloucester Road                    ,14.91,,,,,,,,,,,,
Golders Green                      ,7.40,,,,,,,,,,,,
Goldhawk Road                      ,1.79,,,,,,,,,,,,
Goodge Street                      ,8.23,,,,,,,,,,,,
Grange Hill                        ,0.56,,,,,,,,,,,,
Great Portland Street              ,7.58,,,,,,,,,,,,
Green Park                         ,35.46,,,,,,,,,,,,
Greenford                          ,4.35,,,,,,,,,,,,
Gunnersbury                        ,4.55,,,,,,,,,,,,
Hainault                           ,3.15,,,,,,,,,,,,
Hammersmith (Dis)                  ,29.29,,,,,,,,,,,,
Hammersmith (H&C)                  ,8.96,,,,,,,,,,,,
Hampstead                          ,4.29,,,,,,,,,,,,
Hanger Lane                        ,3.63,,,,,,,,,,,,
Harlesden                          ,2.60,,,,,,,,,,,,
Harrow & Wealdstone                ,4.66,,,,,,,,,,,,
Harrow-on-the-Hill                 ,9.21,,,,,,,,,,,,
Hatton Cross                       ,3.08,,,,,,,,,,,,
Heathrow Terminal 4                ,2.43,,,,,,,,,,,,
Heathrow Terminal 5                ,4.05,,,,,,,,,,,,
Heathrow Terminals 123             ,8.14,,,,,,,,,,,,
Hendon Central                     ,6.84,,,,,,,,,,,,
High Barnet                        ,2.80,,,,,,,,,,,,
High Street Kensington             ,13.46,,,,,,,,,,,,
Highbury & Islington               ,18.13,,,,,,,,,,,,
Highgate                           ,4.64,,,,,,,,,,,,
Hillingdon                         ,1.63,,,,,,,,,,,,
Holborn                            ,34.02,,,,,,,,,,,,
Holland Park                       ,3.39,,,,,,,,,,,,
Holloway Road                      ,7.15,,,,,,,,,,,,
Hornchurch                         ,1.99,,,,,,,,,,,,
Hounslow Central                   ,3.93,,,,,,,,,,,,
Hounslow East                      ,4.34,,,,,,,,,,,,
Hounslow West                      ,3.34,,,,,,,,,,,,
Hyde Park Corner                   ,5.80,,,,,,,,,,,,
Ickenham                           ,1.07,,,,,,,,,,,,
Kennington                         ,4.68,,,,,,,,,,,,
Kensal Green                       ,2.56,,,,,,,,,,,,
Kensington (Olympia)               ,1.88,,,,,,,,,,,,
Kentish Town                       ,6.45,,,,,,,,,,,,
Kenton                             ,2.02,,,,,,,,,,,,
Kew Gardens                        ,3.52,,,,,,,,,,,,
Kilburn                            ,7.79,,,,,,,,,,,,
Kilburn Park                       ,3.48,,,,,,,,,,,,
King's Cross St. Pancras           ,84.87,,,,,,,,,,,,
Kingsbury                          ,4.12,,,,,,,,,,,,
Knightsbridge                      ,21.47,,,,,,,,,,,,
Ladbroke Grove                     ,5.67,,,,,,,,,,,,
Lambeth North                      ,3.02,,,,,,,,,,,,
Lancaster Gate                     ,6.79,,,,,,,,,,,,
Latimer Road                       ,2.19,,,,,,,,,,,,
Leicester Square                   ,38.60,,,,,,,,,,,,
Leyton                             ,13.53,,,,,,,,,,,,
Leytonstone                        ,10.38,,,,,,,,,,,,
Liverpool Street                   ,67.89,,,,,,,,,,,,
London Bridge                      ,69.88,,,,,,,,,,,,
Loughton                           ,3.17,,,,,,,,,,,,
Maida Vale                         ,3.35,,,,,,,,,,,,
Manor House                        ,9.26,,,,,,,,,,,,
Mansion House                      ,5.77,,,,,,,,,,,,
Marble Arch                        ,16.36,,,,,,,,,,,,
Marylebone                         ,13.40,,,,,,,,,,,,
Mile End                           ,14.37,,,,,,,,,,,,
Mill Hill East                     ,1.17,,,,,,,,,,,,
Moor Park                          ,0.82,,,,,,,,,,,,
Moorgate                           ,21.38,,,,,,,,,,,,
Morden                             ,7.70,,,,,,,,,,,,
Mornington Crescent                ,4.65,,,,,,,,,,,,
Neasden                            ,3.11,,,,,,,,,,,,
Newbury Park                       ,4.40,,,,,,,,,,,,
North Acton                        ,5.47,,,,,,,,,,,,
North Ealing                       ,0.86,,,,,,,,,,,,
North Greenwich                    ,22.40,,,,,,,,,,,,
North Harrow                       ,1.69,,,,,,,,,,,,
North Wembley                      ,1.65,,,,,,,,,,,,
Northfields                        ,4.10,,,,,,,,,,,,
Northolt                           ,4.61,,,,,,,,,,,,
Northwick Park                     ,3.95,,,,,,,,,,,,
Northwood                          ,2.28,,,,,,,,,,,,
Northwood Hills                    ,1.48,,,,,,,,,,,,
Notting Hill Gate                  ,17.39,,,,,,,,,,,,
Oakwood                            ,2.79,,,,,,,,,,,,
Old Street                         ,21.86,,,,,,,,,,,,
Osterley                           ,2.32,,,,,,,,,,,,
Oval                               ,5.91,,,,,,,,,,,,
Oxford Circus                      ,85.25,,,,,,,,,,,,
Paddington                         ,49.71,,,,,,,,,,,,
Park Royal                         ,1.64,,,,,,,,,,,,
Parsons Green                      ,6.45,,,,,,,,,,,,
Perivale                           ,2.24,,,,,,,,,,,,
Piccadilly Circus                  ,41.70,,,,,,,,,,,,
Pimlico                            ,10.21,,,,,,,,,,,,
Pinner                             ,2.61,,,,,,,,,,,,
Plaistow                           ,6.25,,,,,,,,,,,,
Preston Road                       ,3.15,,,,,,,,,,,,
Putney Bridge                      ,5.92,,,,,,,,,,,,
Queen's Park                       ,5.58,,,,,,,,,,,,
Queensbury                         ,3.85,,,,,,,,,,,,
Queensway                          ,8.58,,,,,,,,,,,,
Ravenscourt Park                   ,2.77,,,,,,,,,,,,
Rayners Lane                       ,4.08,,,,,,,,,,,,
Redbridge                          ,2.67,,,,,,,,,,,,
Regent's Park                      ,3.79,,,,,,,,,,,,
Richmond                           ,7.95,,,,,,,,,,,,
Rickmansworth                      ,2.24,,,,,,,,,,,,
Roding Valley                      ,0.24,,,,,,,,,,,,
Royal Oak                          ,2.43,,,,,,,,,,,,
Ruislip                            ,1.71,,,,,,,,,,,,
Ruislip Gardens                    ,1.00,,,,,,,,,,,,
Ruislip Manor                      ,1.77,,,,,,,,,,,,
Russell Square                     ,12.95,,,,,,,,,,,,
Seven Sisters                      ,14.46,,,,,,,,,,,,
Shepherd's Bush (Cen)              ,22.87,,,,,,,,,,,,
Shepherd's Bush (H&C)              ,3.44,,,,,,,,,,,,
Sloane Square                      ,16.56,,,,,,,,,,,,
Snaresbrook                        ,2.59,,,,,,,,,,,,
South Ealing                       ,3.48,,,,,,,,,,,,
South Harrow                       ,2.29,,,,,,,,,,,,
South Kensington                   ,32.75,,,,,,,,,,,,
South Kenton                       ,1.02,,,,,,,,,,,,
South Ruislip                      ,1.77,,,,,,,,,,,,
South Wimbledon                    ,3.79,,,,,,,,,,,,
South Woodford                     ,4.59,,,,,,,,,,,,
Southfields                        ,5.79,,,,,,,,,,,,
Southgate                          ,5.39,,,,,,,,,,,,
Southwark                          ,13.46,,,,,,,,,,,,
St. James's Park                   ,14.73,,,,,,,,,,,,
St. John's Wood                    ,7.27,,,,,,,,,,,,
St. Paul's                         ,16.44,,,,,,,,,,,,
Stamford Brook                     ,2.66,,,,,,,,,,,,
Stanmore                           ,3.54,,,,,,,,,,,,
Stepney Green                      ,5.00,,,,,,,,,,,,
Stockwell                          ,9.42,,,,,,,,,,,,
Stonebridge Park                   ,2.54,,,,,,,,,,,,
Stratford                          ,54.50,,,,,,,,,,,,
Sudbury Hill                       ,2.01,,,,,,,,,,,,
Sudbury Town                       ,1.98,,,,,,,,,,,,
Swiss Cottage                      ,7.83,,,,,,,,,,,,
Temple                             ,7.92,,,,,,,,,,,,
Theydon Bois                       ,0.82,,,,,,,,,,,,
Tooting Bec                        ,6.90,,,,,,,,,,,,
Tooting Broadway                   ,13.51,,,,,,,,,,,,
Tottenham Court Road               ,38.06,,,,,,,,,,,,
Tottenham Hale                     ,10.32,,,,,,,,,,,,
Totteridge & Whetstone             ,1.95,,,,,,,,,,,,
Tower Hill                         ,23.41,,,,,,,,,,,,
Tufnell Park                       ,3.94,,,,,,,,,,,,
Turnham Green                      ,6.20,,,,,,,,,,,,
Turnpike Lane                      ,10.29,,,,,,,,,,,,
Upminster                          ,4.96,,,,,,,,,,,,
Upminster Bridge                   ,1.10,,,,,,,,,,,,
Upney                              ,2.30,,,,,,,,,,,,
Upton Park                         ,10.48,,,,,,,,,,,,
Uxbridge                           ,7.59,,,,,,,,,,,,
Vauxhall                           ,25.15,,,,,,,,,,,,
Victoria                           ,84.58,,,,,,,,,,,,
Walthamstow Central                ,16.68,,,,,,,,,,,,
Wanstead                           ,2.73,,,,,,,,,,,,
Warren Street                      ,17.60,,,,,,,,,,,,
Warwick Avenue                     ,4.62,,,,,,,,,,,,
Waterloo                           ,89.40,,,,,,,,,,,,
Watford                            ,1.66,,,,,,,,,,,,
Wembley Central                    ,4.59,,,,,,,,,,,,
Wembley Park                       ,11.74,,,,,,,,,,,,
West Acton                         ,1.69,,,,,,,,,,,,
West Brompton                      ,4.61,,,,,,,,,,,,
West Finchley                      ,1.37,,,,,,,,,,,,
West Ham                           ,3.40,,,,,,,,,,,,
West Hampstead                     ,10.16,,,,,,,,,,,,
West Harrow                        ,1.13,,,,,,,,,,,,
West Kensington                    ,5.04,,,,,,,,,,,,
West Ruislip                       ,1.60,,,,,,,,,,,,
Westbourne Park                    ,3.73,,,,,,,,,,,,
Westminster                        ,23.50,,,,,,,,,,,,
White City                         ,7.22,,,,,,,,,,,,
Whitechapel                        ,14.45,,,,,,,,,,,,
Willesden Green                    ,8.56,,,,,,,,,,,,
Willesden Junction                 ,4.17,,,,,,,,,,,,
Wimbledon                          ,14.20,,,,,,,,,,,,
Wimbledon Park                     ,2.13,,,,,,,,,,,,
Wood Green                         ,12.44,,,,,,,,,,,,
Wood Lane                          ,3.44,,,,,,,,,,,,
Woodford                           ,5.59,,,,,,,,,,,,
Woodside Park                      ,2.63,,,,,,,,,,,,
